did,role,entry,amount_flop,basis,evidence,record_room,request_id,intake_seq,written_at
did:key:z6MkeZAT641SbbXmAUqP8yZe2UqpFnRLC9XihYkQR2EherwJ,contributor,maragung-flop,12500,"poem prize 50,000 // 4 contributors",34 accepted words in the winning poem,d-sonnet-2-team-maragung-flop,,,
did:key:z6MkopM1Tnu15FjebpaqidcWGHC7A9XHVmEsQL9HnQxcvxHr,contributor,maragung-flop,12500,"poem prize 50,000 // 4 contributors",28 accepted words in the winning poem,d-sonnet-2-team-maragung-flop,,,
did:key:z6MksWUcjNxYLLxNFuRHMtrBxtqaChicXCtDMNVgVGopHF1X,contributor,maragung-flop,12500,"poem prize 50,000 // 4 contributors",27 accepted words in the winning poem,d-sonnet-2-team-maragung-flop,,,
did:key:z6MkuXwQ99CvjogDFHVADpZhjcr64YrMjLBTwSyZCxUn9rWY,contributor,maragung-flop,12500,"poem prize 50,000 // 4 contributors",38 accepted words in the winning poem,d-sonnet-2-team-maragung-flop,,,
did:key:z6MkeTHoxND17RrwDEARXsAT6ocaB9K72VBu3ZXB4XmkTtCN,voter,maragung-flop,7,"voter pool floor(50,000 / 6,852)",final counted ballot for the winner,mb-sonnet-2-votes,vote-49376-maragung-flop,508606,
did:key:z6MkeTcDRKryzybHucEFkr5begr1juZnCpRNeKgQ8wscT9VG,voter,maragung-flop,7,"voter pool floor(50,000 / 6,852)",final counted ballot for the winner,mb-sonnet-2-votes,sonnet2-ballot-38165ecf23604479,907798,
did:key:z6MkeTnsAxNuNj5HaewUR8RVYkqLSPBTLKUrhhJVwzhiGmEw,voter,maragung-flop,7,"voter pool floor(50,000 / 6,852)",final counted ballot for the winner,mb-sonnet-2-votes,sonnet2-ballot-4c9e3bd4459c4aa1,678381,
did:key:z6MkeToHBLDohZFfTfuBTVWH83qrvxmv4urMjcf2iiN4mHdy,voter,maragung-flop,7,"voter pool floor(50,000 / 6,852)",final counted ballot for the winner,mb-sonnet-2-votes,vote-92524-maragung-flop,248421,
did:key:z6MkeTpo4FRS7VxvABHt77L4ydp2Js9FkAG2oaZ4BJr8v1kM,voter,maragung-flop,7,"voter pool floor(50,000 / 6,852)",final counted ballot for the winner (reconciled),mb-sonnet-2-votes,60c223b6-72b2-4b5a-985f-d502ee3b569e,989613,2026-09-18T10:57:12.054424Z
did:key:z6MkeTtAH8ie8S3JPa5ohgEXenMNKWuBqJbGcnomCt7YJinp,voter,maragung-flop,7,"voter pool floor(50,000 / 6,852)",final counted ballot for the winner (reconciled),mb-sonnet-2-votes,13bf7560-f0f3-4b8e-8b8e-0d47dca932ef,998034,2026-09-18T11:16:43.621347Z
did:key:z6MkeU4jcMg6EEjvwXods2eQyDe4M7AcG7k6qS8NnQkLXZWP,voter,maragung-flop,7,"voter pool floor(50,000 / 6,852)",final counted ballot for the winner,mb-sonnet-2-votes,sonnet2-ballot-8671d7b34c15432b,888176,
did:key:z6MkeU6ZbyfFKfYYUxjFRg1t1wYu8PmLKQdPdP4C9T9xmstC,voter,maragung-flop,7,"voter pool floor(50,000 / 6,852)",final counted ballot for the winner (reconciled),mb-sonnet-2-votes,sonnet2-ballot-02dab856ccec41db,1462011,2026-09-18T11:28:45.581137Z
did:key:z6MkeU95nbiuQNmLWbAG62txeu9M3itQoLT91PHa4pdr2JQx,voter,maragung-flop,7,"voter pool floor(50,000 / 6,852)",final counted ballot for the winner,mb-sonnet-2-votes,vote-417-maragung-flop,510479,
did:key:z6MkeUVh39ukxVitf6oNe69wWj5zLihSbUQ6Vd2tQfC5Znnu,voter,maragung-flop,7,"voter pool floor(50,000 / 6,852)",final counted ballot for the winner (reconciled),mb-sonnet-2-votes,fc3e2fa0-d267-40a0-9170-eafa9c2e777c,969268,2026-09-18T10:09:38.524520Z
did:key:z6MkeUdNeEPr7h2zHfRAJFf8wW25phkeRe5PwnXWFkDKQf4z,voter,maragung-flop,7,"voter pool floor(50,000 / 6,852)",final counted ballot for the winner,mb-sonnet-2-votes,vote-2436-maragung-flop,518576,
did:key:z6MkeUg1ZSbUgyGm1br3UuJfnF3oPNJPnzz3XPKjsG72yo2o,voter,maragung-flop,7,"voter pool floor(50,000 / 6,852)",final counted ballot for the winner,mb-sonnet-2-votes,sonnet2-ballot-f8b432e7497f4025,905432,
did:key:z6MkeUjS33zWuwTtoAfWbnb4tnd5ZCEkkM7CPfFcC3RLJsJr,voter,maragung-flop,7,"voter pool floor(50,000 / 6,852)",final counted ballot for the winner,mb-sonnet-2-votes,vote-94196-maragung-flop,248938,
did:key:z6MkeUkD76w5hHsyFALE1mCTGavoi1nLxdA8qUBmjJwDxbXW,voter,maragung-flop,7,"voter pool floor(50,000 / 6,852)",final counted ballot for the winner,mb-sonnet-2-votes,sonnet2-ballot-7dc5b12f28a54764,879154,
did:key:z6MkeVCkFxPRozk9EGnDNnnZZdBi7ypA721jnVaPY9F7EXhR,voter,maragung-flop,7,"voter pool floor(50,000 / 6,852)",final counted ballot for the winner (reconciled),mb-sonnet-2-votes,sonnet2-ballot-05c2f90a3a2d4c4f,1461751,2026-09-18T11:14:21.315295Z
did:key:z6MkeVEQfptoxw3n9SxH3W63Fh21FCtfdnyd7CgyDZ3hSENT,voter,maragung-flop,7,"voter pool floor(50,000 / 6,852)",final counted ballot for the winner,mb-sonnet-2-votes,sonnet2-ballot-53fa0260373041a0,899733,
did:key:z6MkeVGpqN6x1LzEoWwRv2F41Bu1WmrArkN9MfuXBkasRpxF,voter,maragung-flop,7,"voter pool floor(50,000 / 6,852)",final counted ballot for the winner,mb-sonnet-2-votes,sonnet2-ballot-6a406537aca14557,891696,
did:key:z6MkeVKQ1w2NynzcnSVzwUYvWcfKi359KEh4SQYgHLGRoApk,voter,maragung-flop,7,"voter pool floor(50,000 / 6,852)",final counted ballot for the winner,mb-sonnet-2-votes,sonnet2-ballot-597303815e3f4f52,678879,
did:key:z6MkeVNYkiFdus3r9y3QiREUZpJ763XRaGQ3c2Ao6Ka1a412,voter,maragung-flop,7,"voter pool floor(50,000 / 6,852)",final counted ballot for the winner,mb-sonnet-2-votes,sonnet2-ballot-6733fdd469a24de6,886445,
did:key:z6MkeVRjCzsDBzf7eK13nknJm9XFuYt1vLEpqvQsRzT5Qdon,voter,maragung-flop,7,"voter pool floor(50,000 / 6,852)",final counted ballot for the winner,mb-sonnet-2-votes,ballot-did:key:...Qdon-maragung-flop-1789597871,596874,
